,question,answer
893,"Oh, I'm sorry.  Did I embarrass you, sweetheart?  Oh...",Stop it.
896,"Alright, alright, Eddie.  Don't patronize me.",I'm not.
899,"Yeah, well you took the camera and put it right down on the evidence.  That was...",That was good.  You were holding the evidence.
900,That was good.  You were holding the evidence.,You were merciless.  You didn't give a shit if you got me or not.
901,You were merciless.  You didn't give a shit if you got me or not.,"Well, who was it that taught me how to do that?  Huh?"
902,"Well, who was it that taught me how to do that?  Huh?",You're ruthless.
903,You're ruthless.,You're not so bad yourself.
904,Look at this.  You have blood on your shirt.  Whose is it?,Could be Leon's.
905,Could be Leon's.,Jesus.  And last week you came over with blood on your shoes.  What am I going to do with you?
906,Don't worry about the damn phone.  I won't answer it.,Answer the phone.
907,Answer the phone.,No.  Tell me what you want to say.
908,No.  Tell me what you want to say.,Answer it.
910,"Oh my G-d, they want me to anchor.  They want me to anchor tonight!",That's good.
913,"Well, that's great.","Okay.  That is great.  But I can't go now, we're in the middle of something here."
914,"Okay.  That is great.  But I can't go now, we're in the middle of something here.",No.  Go ahead.  You're gonna be great.
917,I'll tell you tonight.  Let's do it tonight.  As soon as you get back we'll talk.  We'll talk.,Promise?
920,Yeah.  I'll do that.  As long as you're not patronizing me.,"Patronizing you... Nay, I love you."
921,"Patronizing you... Nay, I love you.",I love you.
922,"Okay, til tonight.",Tonight.
923,Tonight.,You promise?
924,You promise?,Yeah.  I promise.
929,See you later.  Good luck.,Thank you.
930,Thank you.,Don't be late.
934,"I think you're getting a little moody there, Eddie.",I'm not moody.
936,So what's unique?,Not what.  Who.
938,That's unique.,Yeah.  And he still went to the party.
939,I hope this prick doesn't run.  My knees are killing me.  Stay behind me.,You're worried for my safety.  I'm touched.
941,Keep them out of my way.,Okay.  You ready?
942,Okay.  You ready?,"Yeah, yeah.  Jesus."
943,Any chance we can do that again?,Again?  I didn't wanna do it the first time.
944,Okay.  You work in a vodka factory.  I understand that.  And what kind of work do you do?,I am butcher.
945,I am butcher.,You're a butcher?  What do you use pig intestines for?
946,You're a butcher?  What do you use pig intestines for?,You stuff sausage in it.
947,You stuff sausage in it.,And what do you do with the bones?
948,And what do you do with the bones?,Dog food.
949,Are you married?,No.  Are you proposing?
950,Come to 45 Broadway.  Don't bring the Police.  Come alone or you'll be in my next film.,Look asshole.  I've been threatened by better than you.
951,Look asshole.  I've been threatened by better than you.,No.  I'm the best that's ever threatened you.
952,No.  I'm the best that's ever threatened you.,I'll meet you on one condition - I get exclusivity and you surrender to me.
953,I'll meet you on one condition - I get exclusivity and you surrender to me.,We'll talk about that.  Four o'clock gives you time to go to bank.  Three hundred thousand dollars.
954,We'll talk about that.  Four o'clock gives you time to go to bank.  Three hundred thousand dollars.,What?  It doesn't work that way.
955,What?  It doesn't work that way.,If you don't want my film - I'll call another show.  And they will show it.
956,If you don't want my film - I'll call another show.  And they will show it.,Wait a minute.  Wait a minute.
957,Wait a minute.  Wait a minute.,Come alone.  Bring cash.  And we'll talk about surrendering.
958,Were you a fireman?  That how you knew how to rig the apartment?,My father was.  He gave me many lessons about fire.  Now it's my friend.
959,My father was.  He gave me many lessons about fire.  Now it's my friend.,"Tommy, take a walk."
961,"C'mon.  Pull the trigger.  Do it.  Oh, look, you're sweating.  You don't have the balls.",Get down on your knees.
962,Where's your partner?,The Sheraton!  On Broadway!  Room 210. Go get Oleg.  He'll kill you.
963,Tell him to put his gun down!,Let her go!  Let her go!!
964,Let her go!  Let her go!!,If he doesn't lower his gun I'll fucking kill her.
965,"Hi, I'm Honey.",Where's Czech girl?
966,Where's Czech girl?,"Baby, I'm anybody you want me to be. I'm a little schoolgirl, I'm mommy, I'm a Czech girl."
969,Where is escort service?,That's confidential.  Could you put the money on the dresser?
970,That's confidential.  Could you put the money on the dresser?,I like to talk to the person who runs the service.  Can you give me address?
972,Listen to me.  I don't want sex.  Just give me the address and then you go.,"Look, man, I don't give a shit if you want sex or not, but you're payin' for my time."
973,Give me the address!!,"Alright, alright - don't hurt me! Please, it's in my book, in my purse!"
974,"Next.  Could I see your documents, please?",Yes sir.
975,What is your intended purpose of your visit to the United States?,Two weeks holiday.
976,Two weeks holiday.,How much money are you carrying with you?
977,How much money are you carrying with you?,I have five-hundred dollars.
978,I have five-hundred dollars.,"Can you show me?  Sir, no cameras in the FIS area!"
981,Please join us.  Come on forward.,Is there a problem?
983,We are both from Prague.,How long are you planning to stay?
984,How long are you planning to stay?,Two weeks.
985,Two weeks.,"I'd like to speak for himself, okay?"
986,"I'd like to speak for himself, okay?",He doesn't speak English.
987,Who is he?,New York's finest.  This is his case.
988,This all you want?,Do you know how much killer gets for movie rights?
989,Do you know how much killer gets for movie rights?,"In here, says he wants a million."
990,"In here, says he wants a million.",Million?!  The killer gets one million dollars for a television interview?
995,Did you hear what I said?,I want to document my trip to America.
996,Look.  Times Square.  Just like in the movies!,Don't speak Russian!
997,Don't speak Russian!,Why?  Why do I always have to speak to you in Czech?
999,Look.  New videocameras.  Color viewfinder.  Image stabilization. Solarization.  Night vision.,We have no money.  Come on.
1000,Turn that off!  Get the bags.,Why should I carry your bag?  I am not a dog.
1003,Turn that fucking thing off!,I'm not filming.  I'm watching Milos die.  It's just like a move but realer.
1004,Speak English!,You said speak Czech!
1005,You said speak Czech!,How you erase this?
1006,How you erase this?,I'll do it.  Don't hurt my camera!
1008,Get in the bathroom!,"Whatever we do - we fuck her, right?"
1009,"Whatever we do - we fuck her, right?","Oleg, get in bathroom, stay there and shut up!"
1010,Gotta light the scene better.  Now it's more moody... like a scene from THE THIRD MAN.,Shut up.
1011,Shut up.,Does it hurt?
1012,"Oh, shit.  I hate looking at that!",Don't want to film this?
1013,What is it?,The video of Milos and Tamina - I told you to erase it.
1016,"And the whore's murder?  You didn't erase that either, did you?  Don't lie, I won't be angry.",Why not?
1017,Why not?,"Put the camera down, Oleg."
1018,What is that?,What does it look like?  It's an address book!
1019,Let me get a shot of it.,Sit down!
1020,Sit down!,This way.  Hold it this way.  Good.
1024,"In movie they make of us, who do you think would act me?",The one who got caught in the bathroom.  George Michael.
1025,I'm serious.,Shut up.  Look!
1027,I told you to cut that out before we handed in the tape!,Be quiet.  Watch.
1033,You got that?,"No, I don't get that!"
1035,Traitor!!,No.  You are the traitor.  You are murderer.  I am director.  Action!
1036,Emil???!,Surprise!  Surprise!
1038,Did you hurt her?,You know me...I never hurt anybody. Where's the money?
1044,"Yes, the money is good.",As a plumber?!
1045,As a plumber?!,It's easy to learn.
1046,It's easy to learn.,A job??  As a plumber???  You think I come to America to work!
1047,A job??  As a plumber???  You think I come to America to work!,"We started over, you can too."
1048,"We started over, you can too.",You spent all the money while I was in prison?  Now you tell me to get a job fixing toilets?!?
1049,Robert...?,What are you doing here?
1050,What are you doing here?,You've got a call.
1053,Viewer discretion advised!,You want the tape?  There it is!
1054,Isn't he a little moody?,Of course he's moody.  He thinks he's in love.
1055,Of course he's moody.  He thinks he's in love.,In love?  With who?
1058,You outta be ashamed.  Ashamed of yourself.,If I didn't put it on somebody else would!  I was his friend!
1059,If I didn't put it on somebody else would!  I was his friend!,Don't give me that fucking shit.
1061,What do you mean you know?  He told you he was gonna propose to me?,"Well, he..."
1062,"Well, he...",I want to hear everything he said.
1063,I want to hear everything he said.,I'm trying to tell you.
1064,I'm trying to tell you.,Alright.  Go ahead.
1065,Alright.  Go ahead.,That morning.  He was talking to me and Leon about marriage.
1067,Yes...he's my friend.,Okay.  You're a Czech national and you're a Russian national.  How do you know one another?
1068,I speak English.,Then answer my questions.  Where were you planning to stay during the two weeks that you're here?
1069,Then answer my questions.  Where were you planning to stay during the two weeks that you're here?,New York.
1070,New York.,"Yes, we're in New York now.  But where are you planning to stay in New York?"
1071,"Yes, we're in New York now.  But where are you planning to stay in New York?",A cheap hotel.
1072,A cheap hotel.,What are you coming here to do?
1073,What are you coming here to do?,I'm here for movies.
1074,I'm here for movies.,Movies...to be in the movies or to see movies?
1077,No.  Go ahead.,Thanks.  Appreciate it.
1078,"So the way you see it, two crack heads burned themselves up?",That's what it looks like to me.
1079,That's what it looks like to me.,"And while they're burning up, they're still goin' down on each other?  You got to hand it to them."
1080,"And while they're burning up, they're still goin' down on each other?  You got to hand it to them.","Yeah, well, some people got their priorities straight."
1081,What was that?,Evidence.  Of a homicide.
1082,I'll take him.,No way!  He's mine!
1083,No way!  He's mine!,We're takin' him.  Don't argue!
1084,We're takin' him.  Don't argue!,He's my collar!
1085,He's my collar!,"Well, he killed my partner!"
1087,Got any spare change?  How 'bout a spare twenty?,"Look, I don't have time for you, get out of my way!!"
1088,"Look, I don't have time for you, get out of my way!!","Alright, how 'bout all your fuckin' money?"
1089,"Okay, you're under arrest!  Now you happy?",Fire Department?  Firemen don't carry guns.
1090,Fire Department?  Firemen don't carry guns.,Oh yeah?  Guess again.
1091,I'll send a cop back for you.,"Hey.  C'mon, you can't leave me like this.  Some freak'll come by and stab me!"
1092,You okay?,A dog pissed on me!!  I'm gonna sue you for this!  You violated my civil rights!
1094,"What's that on your forehead, Max? That's a nice attention getter.","Yeah, I'm religious.  I'm not an Atheist like you!  Now, are you guys gonna arrest me, or not?"
1095,"Yeah, I'm religious.  I'm not an Atheist like you!  Now, are you guys gonna arrest me, or not?",How did you start the fire this time?
1096,How did you start the fire this time?,I used an accelerant.
1097,I used an accelerant.,Yeah?  What kind?
1098,Yeah?  What kind?,"Hey, by the way, I'm really sorry about your wife leavin' you."
1099,"Where you been, man?  We got a celebrity!",I heard.  Who the hell let them up there?
1100,I heard.  Who the hell let them up there?,"I don't know, you think Eddie will give me his autograph?"
1101,"I don't know, you think Eddie will give me his autograph?",You see anything in the crowd?  Anybody suspicious?
1102,You see anything in the crowd?  Anybody suspicious?,Naw - I'm sure the suspect's not here.
1103,Naw - I'm sure the suspect's not here.,"Oh yeah, why?"
1104,"Oh yeah, why?",'Cause Eddie woulda locked him up by now!
1108,The smoke'll permeate your nostrils - burn 'em out.  Let it run.,"But you knew that, right?"
1109,You see Eddie's face when I gave him the timer?  Wish I had a picture of it.,He knew all along.
1116,How long they been livin' here?,"You hear that question, Garcia?"
1117,You go home.  I'm takin' your car and goin' back to the crime scene.,Aren't you tired?
1118,Aren't you tired?,If I go home I won't be able to fall asleep anyway.
1119,"Bobby, Bobby!  Where're you hit?!","It hurts.  Aw, Jesus!"
1120,"It hurts.  Aw, Jesus!","Lay down.  Stay down, Bobby."
1121,How was it?,Not good.
1122,Get outta here!,What the hell happened?
1123,What the hell happened?,They were inside.  They booby trapped her apartment!
1124,Room was registered to a Francis Capra.,Capra?  That's not Czech or Russian. Who said he sounded Russian?
1125,Capra?  That's not Czech or Russian. Who said he sounded Russian?,The clerk?
1128,"Take the car.  Get outta here, Tommy.","Look, you can't shoot him in cold blood."
1129,"Look, you can't shoot him in cold blood.","GET OUTTA HERE NOW!!  GET IN THAT CAR AND DRIVE AWAY!!!  DO WHAT I SAY OR I'LL KILL YOU, TOO!!!"
1131,Your doctor?,Yes.  My psychiatrist didn't insist that I stay on my medication.
1132,Yes.  My psychiatrist didn't insist that I stay on my medication.,...so you feel absolutely no responsibility for killing these people?
1138,"Look, I'm in here.  You call this a career move?",And isn't there a movie in the works about you?
1139,And isn't there a movie in the works about you?,"We're in negotiations, that's correct."
1140,"We're in negotiations, that's correct.",But doesn't the Son of Sam Law prevent criminals from profiting from their crimes?
1141,But doesn't the Son of Sam Law prevent criminals from profiting from their crimes?,That doesn't apply to me because I'm not a criminal.  I'm not a criminal!  I wasn't convicted.
1142,SPACE STATTION 5 - LOUNGE,"Well, how nice to see you again, Elena. You're looking wonderful."
1143,CONTINUED,"I'm afraid I've only got a few minutes, but I'd love to."
1144,CONTINUED,She's wonderful.
1145,CONTINUED,"Well, I suppose they've been having a bit of trouble with some of the equipment."
1146,CONTINUED,How did they manage to do that without any communication?
1147,CONTINUED,"I'm sorry, Dr. Smyslov, but I'm really not at liberty to discuss this."
1148,CONTINUED,We're trying to get there. I hope we can.
1149,"Hi. Frank... coming in, please.",Right. Just a sec.
1152,"Dave, if you've a minute, I'd like your advice on something.","Sure, what is it?"
1153,"Sure, what is it?","Well, it's nothing really important, but it's annoying."
1154,"Well, it's nothing really important, but it's annoying.",What's up?
1155,What's up?,It's about my salary cheques.
1163,It's possible.,"Well, what do you think we ought to do about it?"
1164,"Well, what do you think we ought to do about it?",I don't think we should make any fuss about it yet. I'm sure they'll straighten it out.
1165,I don't think we should make any fuss about it yet. I'm sure they'll straighten it out.,"I must say, I never did understand why they split us into two groups for training."
1166,"I must say, I never did understand why they split us into two groups for training.","No. I never did, either."
1167,I suppose the idea was specialized training.,"I suppose so. Though, of course, there's a more sinister explanation."
1170,Yes. You must have heard the rumour that went around during orbital check-out.,"No, as a matter of fact, I didn't."
1172,I don't know. All I heard is that there's something about the mission we weren't told.,That seems very unlikely.
1173,That seems very unlikely.,"Yes, I thought so."
1174,"Yes, I thought so.","Of course, it would be very easy for us to find out now."
1179,"Yes, but it's to fantastic to think that they'd keep something from us.",I know. It would be almost inconceivable.
1180,I know. It would be almost inconceivable.,But not completely inconceivable?
1181,But not completely inconceivable?,I suppose it isn't logically impossible.
1182,I suppose it isn't logically impossible.,I guess it isn't.
1183,I guess it isn't.,"Still, all we have to do is ask Hal."
1184,"Well, that's something.","Yes, I don't know what to make of it."
1185,"Yes, I don't know what to make of it.",I suppose computers have been known to be wrong.
1186,I suppose computers have been known to be wrong.,"Yes, but it's more likely that the tolerances on our testing gear are too low."
1187,"Yes, but it's more likely that the tolerances on our testing gear are too low.","Anyway, it's just as well that we replace it. Better safe than sorry."
1188,Good morning. How's it going?,Are you reasonably awake?
1189,Are you reasonably awake?,"Oh, I'm fine, I'm wide awake. What's up?"
1190,"Oh, I'm fine, I'm wide awake. What's up?",Well... Hal's reported the AO-unit about to fail again.
1191,Well... Hal's reported the AO-unit about to fail again.,You're kidding.
1193,I don't know. Hal said he thought it might be the assembly procedure.,Two units in four days. How many spares do we have?
1194,Two units in four days. How many spares do we have?,Two more.
1195,Two more.,"Well, I hope there's nothing wrong with the assembly on those. Other- wise we're out of business."
1198,I didn't do that Frank. I took particular care not to freeze them.,"I guess you don't know your own strength, old boy."
1199,"I guess you don't know your own strength, old boy.",I guess not.
1200,I guess not.,I think I'll have to go out and burn them off.
1203,"Sorry to interrupt the festivities, Dave, but I think we've got a problem.","What is it, Hal?"
1204,"What is it, Hal?",MY F.P.C. shows an impending failure of the antenna orientation unit.
1205,"The unit is still operational, Dave. but it will fail within seventy-two hours.","I understand Hal. We'll take care of it. Please, let me have the hard copy."
1206,"Not now, Hal, I'd like to talk to you about something.","Sure, Dave, what's up?"
1207,"Sure, Dave, what's up?",You know that we checked the two AO-units that you reported in imminent failure condition?
1208,You know that we checked the two AO-units that you reported in imminent failure condition?,"Yes, I know."
1209,"Yes, I know.",You probably also know that we found them okay.
1210,You probably also know that we found them okay.,"Yes, I know that. But I can assure you that they were about to fail."
1211,"I'm not questioning your word, Dave, but it's just not possible. I'm not capable of being wrong.","Hal, is there anything bothering you?  Anything that might account for this problem?"
1215,"I'm sorry about the misunderstanding, Hal.","Well, don't worry about it."
1216,"Well, don't worry about it.",And don't you worry about it.
1217,And don't you worry about it.,Is your confidence in me fully restored?
1218,Is your confidence in me fully restored?,"Yes, it is, Hal."
1219,"Yes, it is, Hal.","Well, that's a relief. You know I have the greatest enthusiasm possible for the mission."
1220,"Too bad about Frank, isn't it?","Yes, it is."
1221,"Yes, it is.",I suppose you're pretty broken up about it?
1223,The antenna has to be replaced.,Repairing the antenna is a pretty dangerous operation.
1227,"I'm goin to do this myself, Hal. Let me have the control, please.","Look, Dave your've probably got a lot to do. I suggest you leave it to me."
1228,"Look, Dave your've probably got a lot to do. I suggest you leave it to me.","Hal, switch to manual hibernation control."
1235,CONTINUED,"Yes, I remember you mentioning it. I got mine about the same time."
1236,CONTINUED,Did they have any explanation for this?
1237,CONTINUED,"Well, what is it?"
1238,CONINUED,"Well... it's silly, but... if you want to, why don't you?"
1239,CONTINUED,"Still, you really don't believe it, do you?"
1241,"I'm at Space Station Five, darling. How are you?","I'm fine, Daddy. When are you coming home?"
1242,I'm having a party tomorrow.,"Yes, I know that sweetheart."
1243,"Yes, I know that sweetheart.",Are you coming to my party?
1244,Are you coming to my party?,"No, I'm sorry, darling, I told you I won't be home for a few days."
1245,"No, I'm sorry, darling, I told you I won't be home for a few days.",When are you coming home?
1246,When are you coming home?,"In three days, darling, I hope."
1247,"One, two, three. Can I speak to Mommy?",Mommy's out to the hair- dresser.
1248,Mommy's out to the hair- dresser.,Where is Mrs. Brown?
1249,Where is Mrs. Brown?,She's in the bathroom.
1250,She's in the bathroom.,"Okay, sweetheart. Well, I have to go now. Tell Mommy that I called."
1251,"Okay, sweetheart. Well, I have to go now. Tell Mommy that I called.",How many days until you come home?
1252,How many days until you come home?,"Three, darling. One... two ... three. Be sure to tell Mommy I called."
1253,"Okay, sweetheart. Have a lovely Birthday Party tomorrow.","Thank you, Daddy."
1254,"Thank you, Daddy.","I'll wish you a happy Birthday now and I'll see you soon. All right, Darling?"
1255,"I'll wish you a happy Birthday now and I'll see you soon. All right, Darling?","Yes, Daddy."
1256,"Yes, Daddy.","'Bye, 'bye, now, sweetheart."
1257,"'Bye, 'bye, now, sweetheart.","Goodbye, Daddy."
1258,"Oh, thank you very much.",Thank you.
1259,Thank you.,"Well, how's it going back there?"
1260,"Well, I've heard more and more people talk of an epidemic.",I suppose it was bound to happen sooner or later.
1261,I suppose it was bound to happen sooner or later.,Berkeley told me that they think it came from contamination on a returning Mars flight.
1264,"I was working out what this trip must cost, taking him up there by himself and coming back empty.",I'll bet it's a fortune.
1265,And your charming little daughter?,"Oh, she's growing up very fast. As a matter of fact, she's six tomorrow."
1266,"Oh, she's growing up very fast. As a matter of fact, she's six tomorrow.","Oh, that's such a delightful age."
1267,"Oh, that's such a delightful age.",How is gregor?
1268,How is gregor?,He's fine. But I'm afraid we don't get a chance to see each other very much these days.
1269,He's fine. But I'm afraid we don't get a chance to see each other very much these days.,"Well, where are all of you off to?"
1270,Clavius Control came on the air just long enough to transmit their refusal.,"Well, that does sound very odd."
1271,Are you sure you won't change your mind about a drink?,"No, thank you... and I'm afraid now I really must be going."
1272,"No, thank you... and I'm afraid now I really must be going.","Well, I hope that you and your wife can come to the I.A.C. conference in June."
1273,"Well, Gregor and I will look forward to seeing you.",Thank you. It's been a great pleasure to meet all of you... Dr. Smyslov.
1275,"Well, thank you very much for being so understanding.","Please, it really doesn't matter."
1276,"Please, it really doesn't matter.",Well.. Did you have a pleaant flight?
1277,Well.. Did you have a pleaant flight?,"Yes, very pleasant."
1278,"Yes, very pleasant.","Well, shall we go through Documentation?"
1280,"Yes, I think so. Just about then.",I suppose you saw the work on our new section while you were docking.
1281,I suppose you saw the work on our new section while you were docking.,"Yes, it's coming along very well."
1283,Are you quite sure?,"Yes, really, thank you very much."
1284,"Well, as it happens, I'm on my way up to the moon","Are you, by any chance, going up to your base at Clavius?"
1285,"Are you, by any chance, going up to your base at Clavius?","Yes,as a matter of fact, I am."
1290,You mean you haven't been able to get anyone at the base for ten days?,That's right.
1293,"Yes... Well, I hope the crew got back safely.","Fortunately, they did."
1294,"Fortunately, they did.","Well, I'm glad about that."
1297,"This epidemic could easily spread to our base, Dr. Floyd. We should be given all the facts.",Dr. Smyslov... I'm not permitted to discuss this.
1300,How can you tell it was deliberately buried?,By the deformation between the mother rock and the fill.
1301,By the deformation between the mother rock and the fill.,Any clue as to what it is?
1303,But you don't have any idea as to what it is?,"Tomb, shine, survey-marker spare part, take your choice."
1306,Has it been exposed to any sun before now?,"I don't think it has, but I'd like to check that. Simpson, what's the log on that?"
1307,"Oh, marvellous. It's the first real sleep I've had for the past two days.",There's nothing like weightless sleep for a complete rest.
1308,There's nothing like weightless sleep for a complete rest.,When do we arrive at Clavius?
1309,When do we arrive at Clavius?,We're scheduled to dock in about seven hours. Is there anything we can do for you?
1310,We're scheduled to dock in about seven hours. Is there anything we can do for you?,"Oh, no, thank you. The two girls have taken wonderful care of me. I'm just fine."
1311,Thank you.,"Incidentally, Dr. Floyd, I wonder if I can have a word with you about the security arrangements?"
1312,"Incidentally, Dr. Floyd, I wonder if I can have a word with you about the security arrangements?",What do you mean?
1318,"Well, fine. Thanks very much, anyway, and I hope you don't mind me asking?","No, of course, Captain, I can understand your concern."
1320,"Right. Hal, tell me whether the following statements are true or false.","I will if I can, Frank."
1321,"I will if I can, Frank.",Our Mission Profile calls for Discovery going to Saturn. True or false?
1324,Our transit time is 257 days. Is that true?,That's true.
1329,That's true.,"Thank you very much, Hal."
1331,"Five by five, Frank.","Hal, I'm going out now to replace the A.O. unit."
1332,"Hal, I'm going out now to replace the A.O. unit.",I understand.
1333,I understand.,"Hal, maintain normal E.V.A. condition."
1336,Pod Bay is decompressed. All doors are secure. You are free to open pod bay doors.,Opening pod bay doors.
1337,"Yes, Hal, what's up?",It looks like we have another bad A.O. unit. My FPC shows another impending failure.
1338,"I know you did, Frank, but I assure you there was an impending failure.",Let me see the tracking alignment display.
1339,Do you have any idea of what is causing this fault?,"Not really, Frank. I think there may be a flaw in the assembly procedure."
1340,"Not really, Frank. I think there may be a flaw in the assembly procedure.","All right, Hal. We'll take care of it. Let me have the hard copy, please."
1343,This is three years old.,"Yeah, I've been busy."
1344,"We don't wash 'em, ya know.",How about chargin' the battery?
1345,How about chargin' the battery?,That we do. And we put air in the tires. I'll even sell you some gas if you need it.
1346,That we do. And we put air in the tires. I'll even sell you some gas if you need it.,"Great, just great."
1349,Maybe you better have a Black Russian.,"No, man, I think I'll have a vodka."
1350,Now how's your memory doin'?,Fuck off.  I don't know what the hell you're talkin' about.
1351,Fuck off.  I don't know what the hell you're talkin' about.,"Maybe I better ask around, see what your pals think."
1352,"Maybe I better ask around, see what your pals think.",I don't give a shit who you ask.
1353,I don't give a damn about his girl...,"Look, give me a break, you're going to have to settle for her place.  It's the only thing I know."
1354,"I'm tellin' ya, I'm giving you all I know.","Try obeyin' the law once in awhile, and I won't have to hassle you..."
1355,"Maybe you shoulda stole a better truck, Tonto.","You got a real big mouth, convict."
1356,I want to drive awhile.,I ain't tired yet.
1357,I ain't tired yet.,Maybe after we get done with him I'm gonna buy us some girls.
1358,Maybe after we get done with him I'm gonna buy us some girls.,"Whaddya mean, buy?"
1360,Pay money?,"Yeah, dummy.  Money."
1361,"Yeah, dummy.  Money.",I never paid for it in my life.
1362,I never paid for it in my life.,It's better when you pay... they let you do anything.
1363,It's better when you pay... they let you do anything.,They always let me do anything. I don't want to pay for it.  I never paid for it in my life.
1364,They always let me do anything. I don't want to pay for it.  I never paid for it in my life.,"Just do what I say, okay? We'll pay for the girls and have a good time... Don't you trust me?"
1365,Maybe that's where I'm gonna cut your throat.,"He's just kiddin', you just keep doin' what I tell ya, you'll be okay."
1366,"Hey, what about me?","And I need one more for my pal. Yeah. Make her an Indian. No, not a turban, you know, a squaw."
1367,I'm candy...,"Excuse me, baby, but if i don't get some action tonight, I'm gonna bust.  You interested?"
1368,"Excuse me, baby, but if i don't get some action tonight, I'm gonna bust.  You interested?","Hey, what kind of talk is that?"
1369,"Hey, what kind of talk is that?",Oh ... You're a schoolteacher...
1372,"Hey, don't you think a hair stylists got any interest in gettin' it on?","Here you go sweetheart, throw it my way."
1373,You're in a hurry.,"Yeah, i been waiting three years."
1374,"Yeah, i been waiting three years.",You just quit bein' a priest or somethin'?
1375,You just quit bein' a priest or somethin'?,"No, baby, nothin' like that. Look, there's a place across the street. We can go right over there..."
1376,"No, baby, nothin' like that. Look, there's a place across the street. We can go right over there...",What's the matter with my place?
1377,What's the matter with my place?,"No, it's gotta be here and now. Believe me. Only I don't have the damn money for a room..."
1378,"Well, maybe I'll see you later ...","Here's hoping, baby..."
1380,"Here you go, baby.","Hey, don't do that.  I said I wasn't a pro, remember?"
1382,"I'll buy ya the best dinner in San Francisco...how'd that be? Then we'll go dancin', okay?",Now you're talkin'. See ya...
1383,I said police.  Now drop the goddamn gun.,Don't give me that police shit. You drop it.
1385,I hear you've got visitors.,Would you guys...
1386,Would you guys...,"No time for any of that crap any more, lady... I'll rip your lungs out if you don't answer fast."
1387,"You and the other one, you're still Billy's girls. You always were his girls...","Yeah.  Sure, i'm crazy in love with him, who wouldn't be..."
1388,"Yeah.  Sure, i'm crazy in love with him, who wouldn't be...",You're gonna help us take him.
1389,You're gonna help us take him.,No chance.
1391,Where's ganz?,In the back.  Down the other corridor.
1392,You lying son of a bitch...,What are you talking about? We didn't kill her ...
1393,"After I get outta this, cop...I'm gonna live forever...",I don't think you're gonna make it.
1394,I don't think you're gonna make it.,Whaddya mean...I got your gun ... I got his money... I got everything...
1395,I got hit.  I can't believe it. I got shot.,You're done.  End of story.
1396,You're done.  End of story.,I ain't gonna beg for my life. It ain't cool.
1397,"You got a name, cop?","Try Cates.  And let's talk in private, okay?"
1398,"Try Cates.  And let's talk in private, okay?","Sure, anything you want."
1399,You here to write my life story?,"Not likely, Reggie.  Maybe I just need some help."
1400,"Yeah, I noticed...",Ganz is in jail.  He's gonna be there two years after I'm on the street.
1403,I can deliver Ganz.  But you gotta get me outta here first.,You're crazy.
1404,You're crazy.,"I can help you, man, but you gotta get me out.  I got to be on the street.  Get me outta here."
1405,"I can help you, man, but you gotta get me out.  I got to be on the street.  Get me outta here.",What's the big deal about you bein' on the street?
1406,What's the big deal about you bein' on the street?,I got a lot to protect.
1407,I got a lot to protect.,Bullshit.
1408,Bullshit.,It's the only way you're gonna get Ganz.
1409,It's the only way you're gonna get Ganz.,I'll think about it.
1410,This prison gives out $400 suits?,What are you talkin' about?  This suit's mine.  It cost $900.
1412,I don't need to hear your jive. I already got that department taken care of...,You got a girl... shit... the generosityof women never ceases to amaze me.
1413,"Hey, no way.  Take off the bracelets or no deal.","You just don't get it, do your Reggie?  There isn't any deal. I own your ass."
1414,"You just don't get it, do your Reggie?  There isn't any deal. I own your ass.",No way to start a partnership.
1420,Luther was part of the gang?,"What gang you talkin' about, Jack?"
1421,"What gang you talkin' about, Jack?","I can read a police file, shithead, and quit calling me Jack."
1422,"I can read a police file, shithead, and quit calling me Jack.","Just an expression man, don't mean nothin'."
1423,I don't give a damn.  It happens to be my name.,Then what're you complainin' about? At least nobody's calling you shithead....
1424,Then what're you complainin' about? At least nobody's calling you shithead....,I may call you worse than that.
1428,"Quit playin' cop and undo this cuff, Jack, I need to talk to this man.",I'm tellin' you to drop the Goddam gun.
1429,I'm tellin' you to drop the Goddam gun.,I got a whole thing about people pointin' guns at me.
1430,I got a whole thing about people pointin' guns at me.,Just throw me the Goddamn gun.
1431,"Hey, this works pretty good.",Thank you.
1432,Thank you.,Want to try it again?
1433,What do you think?,"I think you better put him on ice, man."
1434,"I think you better put him on ice, man.",He's gotta take that call ... if there is one.
1436,We're on the move. Let's go. As they walk toward a corridor.,Do you know how close I was to getting some trim.  And you fucked' it up.
1439,Speakin' of moans my Stomach is startin' to growl.,We eat when I say we eat.
1442,"Yeah, I'm hungry too. I know of a place. Let's go eat.","Yeah, I want mandolins, flowers... They move off down the corridor."
1443,Who'd you call on the phone back at the booking station?,Just get in the car and keep your mouth shut.
1445,"Now, where we goin', convict?",Mission District.  Gonna find us an Indian.
1446,I don't give out the details.,"Last night, two nights ago, three?"
1447,Last night.,You have a good time?
1452,Back you up?  Now why would I wanna do that?,"If they kick my ass, they'll sure as hell carve yours up..."
1453,"If they kick my ass, they'll sure as hell carve yours up...","But you can handle it all right, huh? Real amazin' how far a gun and a badge can carry some cats..."
1454,"But you can handle it all right, huh? Real amazin' how far a gun and a badge can carry some cats...",Bullshit.  Attitude and experience get you through...
1456,"Hey, you wanna bet?","I got two problems.  Number one, I'm not playin' games.  Number two, you got nothin' to bet with."
